iter	Passed	Remaining
0	246	246349
1	248	123837
2	249	82969
3	256	63874
4	258	51444
5	260	43094
6	261	37104
7	262	32607
8	264	29104
9	265	26322
10	270	24340
11	272	22417
12	273	20783
13	275	19372
14	276	18151
15	277	17083
16	279	16153
17	280	15319
18	286	14768
19	287	14095
20	289	13478
21	290	12911
22	291	12401
23	293	11931
24	294	11495
25	296	11094
26	301	10872
27	303	10520
28	304	10197
29	306	9896
30	307	9613
31	308	9346
32	310	9097
33	311	8858
34	316	8728
35	318	8519
36	319	8324
37	321	8130
38	322	7948
39	323	7774
40	325	7609
41	327	7461
42	332	7398
43	334	7257
44	335	7120
45	336	6985
46	338	6855
47	339	6735
48	341	6624
49	343	6524
50	347	6461
51	348	6355
52	349	6253
53	351	6157
54	352	6062
55	354	5972
56	355	5887
57	361	5865
58	362	5788
59	364	5712
60	370	5701
61	372	5628
62	378	5628
63	381	5576
64	383	5509
65	384	5446
66	386	5388
67	411	5643
68	413	5580
69	415	5520
70	417	5469
71	419	5410
72	425	5407
73	428	5367
74	431	5318
75	433	5265
76	434	5213
77	439	5192
78	442	5155
79	444	5107
80	445	5060
81	475	5319
82	476	5260
83	477	5211
84	480	5172
85	482	5127
86	488	5124
87	492	5100
88	495	5071
89	497	5029
90	502	5022
91	505	4987
92	507	4947
93	509	4912
94	511	4871
95	535	5045
96	538	5009
97	539	4968
98	541	4930
99	555	4997
100	560	4986
101	562	4949
102	567	4944
103	569	4905
104	571	4871
105	574	4847
106	577	4817
107	580	4791
108	581	4756
109	585	4736
110	591	4738
111	594	4713
112	596	4680
113	597	4647
114	601	4629
115	605	4617
116	608	4594
117	610	4566
118	612	4536
119	616	4519
120	620	4504
121	621	4475
122	624	4449
123	626	4427
124	628	4398
125	632	4390
126	634	4359
127	638	4351
128	640	4324
129	641	4296
130	645	4279
131	652	4289
132	653	4262
133	655	4235
134	656	4208
135	659	4187
136	660	4161
137	667	4172
138	669	4146
139	670	4120
140	672	4098
141	673	4071
142	675	4046
143	677	4024
144	682	4021
145	683	3998
146	685	3978
147	687	3956
148	688	3932
149	690	3910
150	696	3915
151	698	3894
152	700	3876
153	701	3854
154	703	3832
155	704	3811
156	706	3790
157	711	3790
158	713	3775
159	715	3755
160	716	3731
161	717	3711
162	719	3695
163	721	3676
164	725	3673
165	727	3655
166	728	3635
167	730	3616
168	731	3598
169	733	3580
170	734	3561
171	743	3578
172	744	3560
173	746	3543
174	747	3525
175	749	3507
176	750	3489
177	751	3471
178	757	3472
179	761	3467
180	763	3453
181	767	3447
182	778	3477
183	780	3461
184	782	3447
185	784	3432
186	788	3429
187	790	3413
188	791	3397
189	793	3381
190	794	3367
191	796	3351
192	797	3335
193	802	3334
194	804	3321
195	806	3306
196	807	3291
197	809	3277
198	810	3262
199	811	3247
200	813	3233
